ID,Anger,Disgust,Fear,Happiness,Sadness,Surprise
1,3,3,3,2,2,3
2,3,3,4,1,4,3
3,3,3,4,2,4,3
4,3,3,4,2,3,2
5,1,1,3,2,3,1
6,2,3,4,3,3,1
7,2,2,4,2,3,3
8,2,2,3,3,3,2
9,3,3,4,3,3,2
10,3,3,4,4,3,2
11,2,2,3,2,2,2
12,2,2,3,2,3,2
13,3,4,2,2,3,2
14,3,3,1,4,1,2
15,3,3,4,3,3,4
16,4,3,4,3,4,4
17,4,4,4,1,4,4
18,4,4,3,3,1,4
19,2,2,2,2,3,2
20,2,1,3,2,2,3
21,2,3,4,1,3,2
22,3,3,3,3,4,2
23,1,1,1,4,3,1
24,3,1,3,1,1,3
25,2,2,3,1,2,3
26,2,2,2,2,2,2
27,2,4,4,1,3,3
28,3,3,4,2,4,3
29,3,3,4,3,4,3
30,2,2,2,2,2,2
31,2,1,2,3,2,3
32,2,2,4,1,3,4
33,3,3,4,1,3,2
34,3,3,4,2,3,4
35,1,1,1,2,1,1
36,4,4,2,1,1,0
37,1,2,4,2,4,3
38,3,1,2,2,4,2
39,2,0,0,3,3,1
40,3,3,4,1,2,3
41,3,2,4,1,2,3
42,3,3,3,1,2,1
43,2,2,2,2,2,1
44,3,2,3,3,3,2
45,2,3,4,2,4,3
46,3,4,4,2,4,3
47,1,3,1,2,1,1
48,1,2,3,1,4,0
49,2,2,4,1,3,2
50,4,4,4,2,3,2
51,2,1,3,2,3,1
52,1,3,4,0,4,2
53,2,2,2,2,2,3
54,2,2,3,2,2,2
55,3,2,3,3,3,3
56,4,1,4,1,4,0
57,3,1,3,1,3,4
58,4,4,3,3,2,1
59,0,0,2,2,1,2
60,1,1,2,2,3,1
61,3,2,3,2,4,4
62,2,2,4,1,3,2
63,2,2,4,1,3,1
64,3,3,4,3,3,3
65,4,4,4,4,4,4
66,2,2,4,3,3,3
67,2,2,3,3,2,2
68,2,2,3,2,3,2
69,3,3,4,3,3,4
70,4,3,4,1,2,1
71,2,1,3,3,1,1
72,3,3,1,3,2,2
73,2,2,4,0,4,2
74,2,2,4,2,2,3
75,1,3,3,2,4,4
76,4,3,4,2,2,4
77,4,4,4,1,1,1
78,2,2,3,1,4,0
79,2,2,4,1,3,2
80,4,4,4,1,4,4
81,4,4,4,4,4,4
82,4,4,4,4,4,4
83,4,4,4,4,4,4
84,2,2,3,1,4,1
85,2,3,3,2,3,2
86,3,3,4,2,3,2
87,4,4,4,1,3,1
88,3,3,4,1,4,3
89,2,2,1,1,1,1
90,0,0,2,2,2,4
91,2,2,3,2,2,2
92,4,4,4,1,1,4
93,0,2,4,2,2,1
94,3,4,3,2,3,4
95,3,3,3,1,3,3
96,3,2,3,1,3,2
97,3,2,3,1,3,2
98,4,4,4,2,4,2
99,3,3,4,1,4,3
100,2,1,4,2,3,2
101,4,4,4,2,2,1
102,2,4,4,3,3,1
103,3,4,4,3,3,3
104,2,2,4,2,3,4
105,4,4,4,2,3,3
106,3,2,3,2,2,3
107,3,3,4,3,4,4
108,1,2,4,1,2,3
109,4,4,4,3,3,1
110,1,1,4,2,3,1
111,0,2,3,2,2,1
112,4,4,3,1,4,1
113,1,1,2,2,3,1
114,3,3,4,2,4,3
115,4,4,4,4,4,4
116,1,3,4,4,3,3
117,4,4,4,1,2,2
118,1,1,3,3,2,3
119,2,2,4,2,4,3
120,3,3,4,2,1,2
121,2,3,3,3,2,2
122,3,3,4,4,3,2
123,4,4,4,1,4,2
124,3,3,4,2,2,4
125,3,3,4,3,4,3
126,2,3,3,1,2,4
127,2,2,3,2,3,3
128,2,3,4,2,4,1
129,2,3,3,1,1,3
130,2,3,3,2,3,3
131,1,1,0,3,1,1
132,3,3,4,2,3,3
133,3,3,3,3,3,1
134,2,2,4,4,2,3
135,3,3,3,2,4,3
136,4,3,4,2,4,1
137,3,3,4,2,2,3
138,3,2,3,2,1,3
139,3,3,3,0,3,1
140,3,3,4,4,4,3
141,2,1,4,2,3,4
142,3,4,4,2,2,3
143,3,3,3,1,1,1
144,3,3,3,1,3,3
145,2,3,4,3,4,1
146,4,3,4,2,4,4
147,2,2,4,2,3,2
148,3,4,3,1,2,1
149,4,4,4,4,4,4
150,2,2,4,1,4,2
151,2,3,2,2,3,4
152,4,3,4,3,2,2
153,3,3,4,1,4,3
154,3,3,3,3,3,3
155,3,1,3,3,2,3
156,3,2,4,3,3,4
157,2,2,4,3,1,3
158,1,1,2,0,2,2
159,4,3,3,2,4,2
160,1,2,1,2,1,1
161,3,2,4,3,3,2
162,1,1,3,1,1,1
163,3,3,4,3,4,3
164,3,3,3,1,3,4
165,0,1,1,2,1,2
166,4,4,4,3,3,4
167,1,1,4,2,4,2
168,3,1,4,4,2,1
169,3,3,3,2,3,3
170,1,1,3,3,3,3
171,2,4,4,2,4,4
172,1,1,4,2,2,1
173,0,1,3,3,1,1
174,4,0,4,2,2,2
175,2,2,3,2,2,2
176,3,3,3,2,2,1
177,2,2,4,3,4,3
178,4,4,4,3,3,3
179,1,1,2,1,4,2
180,4,4,4,2,4,2
181,2,3,4,2,3,4
182,4,2,2,1,3,3
183,1,0,2,2,3,3
184,3,2,3,2,3,2
185,2,1,1,2,2,2
186,3,3,1,3,3,2
187,4,3,4,1,3,4
188,4,4,4,2,3,4
189,2,2,1,2,3,3
190,3,3,3,3,3,3
191,2,4,4,1,3,1
192,3,2,4,2,3,2
193,2,2,2,2,1,2
194,4,4,4,4,4,2
195,0,2,4,2,2,4
196,4,4,4,2,4,4
197,3,4,4,2,3,2
198,4,4,4,3,3,2
199,1,1,0,1,1,1
200,4,4,3,4,3,4
201,4,3,3,3,3,3
202,3,2,4,2,4,4
203,2,2,3,2,2,2
204,3,3,4,1,3,1
