ID,Anger,Disgust,Fear,Happiness,Sadness,Surprise
1,3,4,4,2,2,4
2,4,4,4,0,4,4
3,3,3,4,3,4,4
4,2,1,2,2,1,3
5,3,3,4,2,4,2
6,4,4,4,1,3,2
7,2,2,3,2,3,3
8,3,3,4,3,4,2
9,4,4,4,2,2,3
10,3,3,3,4,2,2
11,2,2,3,2,3,2
12,2,2,3,2,3,2
13,4,4,4,1,4,1
14,3,3,3,1,3,2
15,3,4,4,3,4,4
16,4,4,4,0,0,4
17,4,4,4,2,4,4
18,3,4,4,3,4,4
19,3,3,3,2,3,2
20,3,3,4,1,3,4
21,4,4,4,2,4,2
22,4,2,2,3,2,3
23,4,4,1,4,4,1
24,3,3,3,0,1,3
25,2,2,3,1,3,3
26,1,1,1,1,1,1
27,2,2,2,2,2,2
28,4,4,4,2,3,3
29,4,4,3,1,3,4
30,2,2,2,2,2,2
31,2,1,1,2,2,3
32,3,2,4,1,3,2
33,3,4,4,1,3,4
34,4,3,4,1,4,4
35,1,1,2,1,1,1
36,2,2,2,2,2,2
37,2,2,4,2,4,3
38,2,3,3,2,3,3
39,3,3,4,1,3,3
40,3,3,4,1,2,2
41,1,2,4,0,3,2
42,4,3,4,0,1,0
43,2,2,3,1,3,3
44,2,3,4,2,4,2
45,1,3,3,3,2,1
46,3,4,4,1,4,2
47,0,1,2,1,0,0
48,2,3,4,0,4,2
49,4,4,4,0,4,2
50,3,3,4,0,3,1
51,3,1,3,1,3,1
52,3,4,4,0,4,4
53,2,2,3,2,2,2
54,3,3,3,2,3,3
55,3,2,4,3,2,3
56,3,3,3,1,4,0
57,3,2,2,1,3,4
58,4,4,4,1,3,0
59,3,3,3,1,3,3
60,1,1,2,2,3,1
61,3,2,4,2,4,4
62,2,2,3,2,3,2
63,3,4,4,0,4,4
64,3,1,4,3,3,3
65,4,4,4,4,4,4
66,2,2,4,3,4,3
67,2,2,3,2,3,2
68,2,2,3,1,3,3
69,4,3,4,2,3,4
70,4,4,4,1,1,1
71,4,4,1,3,1,1
72,3,3,2,2,2,3
73,3,3,4,1,3,1
74,1,1,2,4,1,3
75,3,4,4,0,4,3
76,3,3,4,0,4,2
77,3,3,3,0,1,1
78,1,0,3,3,4,2
79,2,3,4,0,4,1
80,4,4,4,0,4,4
81,4,4,4,4,4,4
82,3,3,4,2,4,2
83,4,4,4,4,4,4
84,3,2,4,0,4,4
85,4,4,4,1,3,2
86,2,2,3,2,3,2
87,4,3,3,2,3,2
88,4,4,4,2,2,2
89,3,2,1,1,2,1
90,0,0,4,2,2,2
91,2,2,3,2,2,2
92,4,4,4,1,4,4
93,1,4,4,2,3,1
94,3,2,4,2,2,4
95,2,1,3,2,3,2
96,3,1,4,0,4,4
97,3,3,3,1,3,3
98,4,4,4,1,4,2
99,3,4,4,2,4,3
100,2,3,4,2,4,2
101,1,1,1,1,1,1
102,1,4,4,1,4,1
103,4,4,4,2,4,2
104,2,3,4,3,4,4
105,4,4,4,2,4,4
106,3,3,4,2,3,3
107,4,1,4,2,2,4
108,1,4,4,3,3,1
109,3,3,4,3,3,1
110,2,1,4,1,3,0
111,3,3,4,1,1,0
112,4,4,4,0,4,0
113,3,4,4,1,3,4
114,3,3,4,3,4,2
115,4,4,4,4,4,4
116,1,2,4,2,3,2
117,2,2,4,3,4,2
118,3,3,4,1,3,4
119,3,3,3,2,4,3
120,3,3,4,2,3,2
121,3,3,4,3,3,3
122,2,2,4,2,4,1
123,4,4,4,2,4,1
124,3,3,4,2,3,2
125,3,2,3,3,3,3
126,2,3,3,2,2,4
127,2,2,3,2,3,3
128,3,4,4,1,4,2
129,1,3,4,1,1,4
130,3,3,3,1,4,3
