ID,Anger,Disgust,Fear,Happiness,Sadness,Surprise
1,2,1,0,3,2,2
2,3,3,3,2,3,3
3,2,2,2,2,2,2
4,2,3,4,3,3,3
5,3,2,1,1,2,2
6,3,3,2,2,3,2
7,1,1,2,3,1,2
8,2,1,2,3,3,3
9,2,2,1,4,2,1
10,2,2,2,2,2,2
11,2,2,2,2,2,2
12,2,2,2,2,2,2
13,3,2,2,3,2,2
14,4,4,4,2,4,4
15,1,1,1,2,1,2
16,3,2,1,2,1,1
17,2,0,1,2,1,1
18,4,4,1,4,4,4
19,3,3,3,2,2,2
20,3,3,4,2,2,1
21,2,2,2,2,2,2
22,4,4,4,4,4,3
23,3,4,4,4,4,3
24,0,0,0,3,1,0
25,1,1,1,3,1,1
26,2,2,2,2,2,2
27,3,3,3,2,3,3
28,2,2,3,2,2,3
29,3,3,2,1,2,1
30,2,2,2,2,2,2
31,1,1,0,3,2,2
32,3,3,3,2,3,2
33,2,2,2,2,2,1
34,2,2,1,2,1,1
35,0,1,1,3,4,2
36,3,3,2,3,3,3
37,1,1,1,3,1,1
38,3,1,1,3,3,2
39,4,3,3,3,3,2
40,1,1,1,2,1,1
41,0,1,2,1,1,1
42,2,2,3,4,3,3
43,2,2,1,2,2,2
44,1,1,1,3,3,3
45,3,1,1,3,2,1
46,2,2,1,2,2,2
47,3,3,2,1,2,2
48,3,3,3,2,3,2
49,1,1,1,2,1,1
50,3,3,3,3,3,4
51,4,1,2,3,3,3
52,1,1,2,3,2,1
53,2,2,1,2,2,1
54,2,2,2,2,2,2
55,3,3,4,3,3,4
56,3,2,2,3,2,3
57,1,1,1,3,2,2
58,3,4,3,3,4,4
59,0,0,0,3,0,0
60,2,0,0,4,1,4
61,2,2,1,2,2,1
62,2,2,3,2,2,2
63,1,1,1,2,1,1
64,3,3,3,3,3,3
65,3,3,3,3,3,3
66,3,3,3,3,3,2
67,3,3,2,2,3,2
68,1,1,1,3,1,3
69,2,1,2,2,2,1
70,2,2,3,3,3,3
71,1,1,2,2,1,1
72,2,1,1,4,2,1
73,2,2,2,2,2,2
74,3,3,4,2,4,2
75,1,0,1,4,1,1
76,2,2,2,3,2,2
77,2,3,3,2,3,3
78,1,0,1,3,1,3
79,2,1,1,2,1,1
80,3,2,3,4,3,2
81,2,2,2,2,2,2
82,2,2,2,2,2,2
83,2,2,2,2,2,2
84,3,3,3,3,3,3
85,2,2,3,3,2,4
86,2,2,2,2,2,2
87,1,1,1,4,1,4
88,3,1,1,3,2,2
89,2,2,2,2,2,2
90,3,3,3,3,3,3
91,2,2,2,2,2,2
92,2,2,2,2,2,2
93,1,3,1,2,3,1
94,2,1,2,2,1,2
95,1,1,1,3,2,1
96,2,3,1,2,2,1
97,2,3,2,3,3,3
98,2,2,2,2,2,2
99,2,2,2,2,2,2
100,2,2,1,3,1,1
101,4,4,4,2,4,2
102,2,2,2,2,2,2
103,2,2,3,2,3,2
104,2,2,2,3,2,2
105,3,3,1,2,2,1
106,3,3,3,3,3,3
107,4,3,2,3,2,1
108,3,3,1,4,2,2
109,2,2,2,2,2,2
110,3,3,2,4,4,3
111,3,3,1,2,2,3
112,3,2,2,4,2,3
113,4,4,3,3,1,2
114,2,2,2,3,3,2
115,4,4,4,4,4,3
116,2,2,1,2,2,2
117,2,2,2,2,2,0
118,2,1,1,2,1,1
119,3,2,2,2,4,3
120,2,1,1,3,3,3
121,2,1,1,3,2,3
122,2,1,1,2,2,0
123,2,1,0,3,1,4
124,2,2,1,2,2,2
125,3,2,2,3,2,2
126,2,2,2,2,2,2
127,3,3,3,1,3,2
128,2,2,1,3,1,2
129,1,3,2,3,2,1
130,2,2,2,2,2,2
131,2,2,2,2,1,1
132,2,2,1,3,2,1
133,1,2,1,2,2,2
134,2,1,2,3,3,2
135,2,1,2,3,2,1
136,2,3,1,4,2,1
137,3,3,3,2,3,3
138,2,2,2,1,2,2
139,3,3,2,3,3,3
140,3,3,3,4,4,4
141,3,3,2,3,2,2
142,2,1,2,3,2,2
143,2,2,2,3,3,3
144,2,2,2,2,2,2
145,3,3,3,4,4,4
146,3,3,3,2,2,3
147,2,2,3,2,3,3
148,0,2,2,1,2,2
149,2,2,2,2,2,2
150,1,1,2,2,2,2
151,3,3,2,2,3,2
152,3,3,2,3,2,2
153,2,1,1,3,1,2
154,3,3,3,3,3,3
155,2,2,2,2,2,2
156,2,2,2,2,2,2
157,4,3,2,3,3,1
158,1,1,1,1,1,1
159,3,1,1,3,2,2
160,2,3,1,2,1,2
161,4,4,3,2,4,3
162,2,2,2,2,2,2
163,1,2,1,2,2,1
164,1,2,1,4,1,1
165,3,3,3,1,3,1
166,3,2,3,2,3,3
167,2,2,2,2,2,2
168,2,1,2,2,2,1
169,2,2,3,3,1,2
170,3,1,1,3,2,3
171,2,2,2,2,2,2
172,3,3,3,2,3,2
173,2,2,2,2,3,2
174,1,1,1,2,1,1
175,2,2,2,2,2,2
176,1,1,2,2,1,3
177,2,2,2,4,3,3
178,4,4,4,4,4,4
179,2,1,1,1,1,1
180,2,2,2,2,2,2
181,2,2,1,3,2,2
182,1,1,3,4,3,1
183,3,1,2,2,2,0
184,0,0,1,2,1,2
185,3,4,3,2,3,4
186,2,2,2,3,2,1
187,2,3,2,3,2,3
188,3,3,3,1,3,1
189,2,3,1,2,2,1
190,2,2,2,2,2,2
191,2,2,2,2,2,2
192,3,2,3,3,2,2
193,2,2,2,1,2,2
194,2,2,2,2,2,2
195,2,2,2,1,3,2
196,0,1,1,3,4,3
197,2,2,2,2,2,2
198,2,2,1,2,2,3
199,2,1,1,3,1,2
200,3,3,4,4,4,2
201,3,3,2,2,2,3
202,2,2,2,2,2,2
203,2,2,1,2,1,2
204,3,2,1,2,1,1
