"","ev_g","emotion","subjects","raters","kappa","z","p"
"1",1,"anger",15,2,0.129032258064516,0.612372435695794,0.54029137460742
"2",1,"disgust",15,2,-0.220930232558139,-0.913011446520708,0.361236521435192
"3",1,"fear",15,2,0.13612565445026,0.771046169254438,0.440679566056776
"4",1,"happiness",15,2,0.333333333333333,1.33045289097545,0.183369097976294
"5",1,"sadness",15,2,0.0495867768595063,0.22624780387071,0.821008692259289
"6",1,"surprise",15,2,-0.184210526315789,-0.713444300617155,0.47557086820651
"7",2,"anger",15,2,0.450704225352113,1.89689243225603,0.0578421364605184
"8",2,"disgust",15,2,0.375,2.06678219990221,0.0387546814873352
"9",2,"fear",15,2,0.217687074829932,1.16774841624228,0.242908260904327
"10",2,"happiness",15,2,0.272300469483568,1.43540124779111,0.151172790643803
"11",2,"sadness",15,2,0.232804232804233,1.54944946700228,0.121273710221626
"12",2,"surprise",15,2,0.0590405904059038,1.1283658755349,0.259165433139463
"13",3,"anger",14,2,NA,NA,NA
"14",3,"disgust",14,2,NA,0,1
"15",3,"fear",14,2,NA,NA,NA
"16",3,"happiness",14,2,0.153846153846154,0.67202150503226,0.501570005898984
"17",3,"sadness",14,2,-0.0224719101123598,-0.116191575254308,0.907500713502657
"18",3,"surprise",14,2,NA,NA,NA
"19",4,"anger",12,2,0.651162790697674,2.47648655526523,0.0132682622207358
"20",4,"disgust",12,2,0.599999999999999,2.42711950486767,0.0152192417431045
"21",4,"fear",12,2,0.210526315789474,0.828078671210825,0.407625947702781
"22",4,"happiness",12,2,0.521739130434783,2.17088168095991,0.0299401174364125
"23",4,"sadness",12,2,0.192307692307692,0.882734829504744,0.377379559170248
"24",5,"anger",11,2,0.316978897938418,1.19168230303699,0.350035987881934
"25",5,"disgust",11,2,0.213095238095238,0.958810549694507,0.353873454576856
"26",5,"fear",11,2,0.0408241758241757,0.18809419164368,0.758015867128021
"27",5,"happiness",11,2,-0.0517779931988488,-0.238269903171169,0.425662324517242
"28",5,"sadness",11,2,0.247410834779255,1.15189807584224,0.292747581459422
"29",5,"surprise",11,2,-0.0999999999999995,NA,NA
"30",6,"anger",13,2,0.458333333333333,1.86002081153809,0.0628825815857084
"31",6,"disgust",13,2,-0.0963855421686745,-0.351865775274498,0.724938927228204
"32",6,"fear",13,2,0.227027027027027,1.26194294641239,0.206969316918814
"33",6,"happiness",13,2,0.315789473684212,2.26682895550447,0.0234006765518764
"34",6,"sadness",13,2,0.218579234972676,1.03311348898201,0.301550791523207
"35",6,"surprise",13,2,-0.0196078431372549,-0.109713431434064,0.912636647980613
