interviewID,eval_group,evaluatorID,anger,disgust,fear,happiness,sadness,surprise
4,1,1,1,1,1,3,1,2
4,1,2,0,0,0,3,1,1
8,1,1,0,0,1,2,1,1
8,1,2,1,1,2,2,4,0
13,1,1,0,0,1,2,1,0
13,1,2,1,2,2,1,0,1
28,1,1,0,0,1,1,1,0
28,1,2,0,0,0,0,1,1
30,1,1,0,0,1,2,0,0
30,1,2,0,0,1,2,1,0
38,1,1,1,0.5,0,2,1.5,0
38,1,2,0,0,1,3,2,2
44,1,1,1,1,1,1,1,1
44,1,2,0,1,1,2,1,0
46,1,1,0,0,0,1,0,2
46,1,2,0,0,0,1,0,0
56,1,1,1,1,1,1,2,0
56,1,2,0,0,1,2,1,0
58,1,1,1,0,1,3,1,0
58,1,2,1,2,3,1,3,2
70,1,1,2,1,1,1,2,0
70,1,2,1,1,1,2,1,0
77,1,1,0,0,1,2,1,1
77,1,2,0,0,1,2,1,1
78,1,1,1,1,1,1,2,0
78,1,2,0,0,0,2,0,0
82,1,1,1,1,1,1,1,1
82,1,2,1,1,1,1,2,0
92,1,1,1,1,1,2,1,1
92,1,2,0,0,0,3,0,1
7,2,3,2,0,2,2,2,1
7,2,4,2,0,2,2,1,0
14,2,3,0.5,0,2,3,1.5,2.5
14,2,4,0,0,1,1.5,1,0
16,2,3,2,2,1,1.5,1.5,1
16,2,4,3,3,2,1,1,0
19,2,3,0,0,1,3,1,1
19,2,4,0,1,0,3,1,0
22,2,3,1,0,1,1,1,1
22,2,4,0,0,0,1,0,0
29,2,3,0.5,0,1,3.5,3.5,0.5
29,2,4,2,3,1.5,1,1.5,0
37,2,3,1,0,3,2,3,1
37,2,4,0,1,1,3,1,1
41,2,3,0,0,3,4,2,2
41,2,4,0,1,2,1,1,0
45,2,3,1,0,1,2,2,1
45,2,4,0,0,0,1,1,0
57,2,3,1,0,1,4,3,2
57,2,4,0,0,0,3,0,0
62,2,3,2,0,3,3,4,3
62,2,4,1,1,1,3,2,1
69,2,3,0,0,1,1,3,1
69,2,4,0,0,0,1,3,0
76,2,3,0,1,1,4,0.5,1
76,2,4,1.5,2,2,2,2,0
83,2,3,0.5,0.5,1,2.5,1,2
83,2,4,0,0,0,1,1,0
91,2,3,0,0,2,4,2,1
91,2,4,0,0,0,4,1,0
6,3,5,0,0,1,3,1,1
6,3,6,0,0,1,3,1,0
9,3,5,0,1,1,2,1,1
9,3,6,0,0,0,3,0,0
20,3,5,0,0,1,2,1,1
20,3,6,0,0,1,3,1,0
21,3,5,0,0,1,1,0,1
21,3,6,0,0,1,2,1,0
23,3,5,1,1,1,2,1,2
23,3,6,0,0,0,2,0,0
27,3,5,0,1,1,3,2,1
27,3,6,0,0,1,2,1,0
36,3,5,1,0,1,2,1,1
36,3,6,0,0,1,3,1,0
42,3,5,0,0,1,2,1,1
42,3,6,0,0,1,3,0,0
67,3,5,1,2,1,3,2,1
67,3,6,0,0,0,2,1,0
68,3,5,1,2,1,2,1,0
68,3,6,0,0,1,3,1,0
75,3,5,1,1,1,3,1,1
75,3,6,0,0,0,2,2,0
79,3,5,1,1,1,1,2,1
79,3,6,0,0,0,2,0,0
88,3,5,1,1,1,4,1,2
88,3,6,0,0,0,3,0,0
90,3,5,1,1,1,2,2,1
90,3,6,0,0,1,2,1,0
3,4,7,1,0,1,2,1,0
